boite,ligne,colonne,fruit,date_ponte,date_comptage,entree1,entree2,nb_oeufs,compteur,test
P189,3,1,Raisin ,16/08/19,20/08/19,24,24,24,JL,OK
P189,3,2,Tomate ,16/08/19,20/08/19,16,16,16,JL,OK
P189,3,3,Figue ,16/08/19,20/08/19,11,11,11,JL,OK
P189,3,4,Cerise,16/08/19,20/08/19,5,5,5,JL,OK
P190,1,1,Kiwi,16/08/19,20/08/19,20,20,20,JL,OK
P190,1,2,Cassis,16/08/19,20/08/19,17,17,17,JL,OK
P190,1,3,Cranberry ,16/08/19,20/08/19,4,4,4,JL,OK
P190,1,4,Framboise ,16/08/19,20/08/19,1,1,1,JL,OK
P190,2,1,Abricot,16/08/19,20/08/19,6,6,6,JL,OK
P190,2,2,Fraise,16/08/19,20/08/19,19,19,19,JL,OK
P190,2,3,Cerise,16/08/19,20/08/19,2,2,2,JL,OK
P190,2,4,Figue ,16/08/19,20/08/19,3,3,3,JL,OK
P190,3,1,Tomate ,16/08/19,20/08/19,11,11,11,JL,OK
P190,3,2,Raisin ,16/08/19,20/08/19,16,16,16,JL,OK
P190,3,3,Eglantine ,16/08/19,20/08/19,2,2,2,JL,OK
P190,3,4,Mure,16/08/19,20/08/19,2,2,2,JL,OK
P191,1,1,Mure,16/08/19,20/08/19,1,1,1,JL,OK
P191,1,2,Eglantine ,16/08/19,20/08/19,0,0,0,JL,OK
P191,1,3,Cerise,16/08/19,20/08/19,0,0,0,JL,OK
P191,1,4,Tomate ,16/08/19,20/08/19,1,1,1,JL,OK
P191,2,1,Cassis,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,2,Fraise,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,3,Abricot,16/08/19,20/08/19,0,0,0,JL,OK
P191,2,4,Kiwi,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,1,Framboise ,16/08/19,20/08/19,9,9,9,JL,OK
P191,3,2,Figue ,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,3,Raisin ,16/08/19,20/08/19,0,0,0,JL,OK
P191,3,4,Cranberry ,16/08/19,20/08/19,5,5,5,JL,OK
