boite,ligne,colonne,concentration,date_ponte,data_comptage,entree1,entree2,nb_oeufs,compteur,test
P19,2,3,"0,3",16/08/19,19/08/19,0,0,0,JL,OK
P19,2,4,0,16/08/19,19/08/19,0,0,0,JL,OK
P19,3,1,"1,65",16/08/19,19/08/19,2,2,2,JL,OK
P19,3,2,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P19,3,3,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P19,3,4,"0,6",16/08/19,19/08/19,1,1,1,JL,OK
P20,1,1,"1,35",16/08/19,19/08/19,4,4,4,JL,OK
P20,1,2,"0,3",16/08/19,19/08/19,1,1,1,JL,OK
P20,1,3,"1,05",16/08/19,19/08/19,2,2,2,JL,OK
P20,1,4,"0,75",16/08/19,19/08/19,15,15,15,JL,OK
P20,2,1,"1,5",16/08/19,19/08/19,1,1,1,JL,OK
P20,2,2,"0,9",16/08/19,19/08/19,0,0,0,JL,OK
P20,2,3,"0,6",16/08/19,19/08/19,7,7,7,JL,OK
P20,2,4,"0,15",16/08/19,19/08/19,29,29,29,JL,OK
P20,3,1,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P20,3,2,"1,65",16/08/19,19/08/19,13,13,13,JL,OK
P20,3,3,"0,45",16/08/19,19/08/19,9,9,9,JL,OK
P20,3,4,0,16/08/19,19/08/19,32,32,32,JL,OK
P21,1,1,0,16/08/19,20/08/19,0,0,0,JL,OK
P21,1,2,"0,15",16/08/19,20/08/19,16,16,16,JL,OK
P21,1,3,"1,65",16/08/19,20/08/19,22,22,22,JL,OK
P21,1,4,"1,05",16/08/19,20/08/19,12,12,12,JL,OK
P21,2,1,"1,5",16/08/19,20/08/19,10,10,10,JL,OK
P21,2,2,"0,3",16/08/19,20/08/19,3,3,3,JL,OK
P21,2,3,"0,6",16/08/19,20/08/19,1,1,1,JL,OK
P21,2,4,"0,9",16/08/19,20/08/19,4,4,4,JL,OK
P21,3,1,"1,35",16/08/19,20/08/19,5,5,5,JL,OK
P21,3,2,"0,45",16/08/19,20/08/19,13,13,13,JL,OK
P21,3,3,"0,75",16/08/19,20/08/19,2,2,2,JL,OK
P21,3,4,"1,2",16/08/19,20/08/19,0,0,0,JL,OK
P22,1,1,"0,9",16/08/19,19/08/19,3,3,3,JL,OK
P22,1,2,"1,65",16/08/19,19/08/19,6,6,6,JL,OK
P22,1,3,"0,6",16/08/19,19/08/19,3,3,3,JL,OK
P22,1,4,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P22,2,1,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P22,2,2,"0,3",16/08/19,19/08/19,7,7,7,JL,OK
P22,2,3,"0,75",16/08/19,19/08/19,1,1,1,JL,OK
P22,2,4,"1,35",16/08/19,19/08/19,1,1,1,JL,OK
P22,3,1,"1,2",16/08/19,19/08/19,1,1,1,JL,OK
P22,3,2,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P22,3,3,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P22,3,4,0,16/08/19,19/08/19,6,6,6,JL,OK
P23,1,1,"0,9",16/08/19,19/08/19,17,17,17,JL,OK
P23,1,2,"1,65",16/08/19,19/08/19,8,8,8,JL,OK
P23,1,3,"0,3",16/08/19,19/08/19,2,2,2,JL,OK
P23,1,4,0,16/08/19,19/08/19,0,0,0,JL,OK
P23,2,1,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P23,2,2,"1,35",16/08/19,19/08/19,0,0,0,JL,OK
P23,2,3,"1,5",16/08/19,19/08/19,0,0,0,JL,OK
P23,2,4,"1,2",16/08/19,19/08/19,0,0,0,JL,OK
P23,3,1,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P23,3,2,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P23,3,3,"0,45",16/08/19,19/08/19,0,0,0,JL,OK
P23,3,4,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P24,1,1,"1,5",16/08/19,20/08/19,0,0,0,JL,OK
P24,1,2,"0,45",16/08/19,20/08/19,1,1,1,JL,OK
P24,1,3,"1,35",16/08/19,20/08/19,0,0,0,JL,OK
P24,1,4,"1,65",16/08/19,20/08/19,0,0,0,JL,OK
P24,2,1,"0,9",16/08/19,20/08/19,11,11,11,JL,OK
P24,2,2,"0,75",16/08/19,20/08/19,1,1,1,JL,OK
P24,2,3,"1,05",16/08/19,20/08/19,0,0,0,JL,OK
P24,2,4,"1,2",16/08/19,20/08/19,4,4,4,JL,OK
P24,3,1,"0,3",16/08/19,20/08/19,3,3,3,JL,OK
P24,3,2,"0,15",16/08/19,20/08/19,16,16,16,JL,OK
P24,3,3,"0,6",16/08/19,20/08/19,3,3,3,JL,OK
P24,3,4,0,16/08/19,20/08/19,12,12,12,JL,OK
P25,1,1,"1,2",16/08/19,19/08/19,8,8,8,JL,OK
P25,1,2,"1,5",16/08/19,19/08/19,4,4,4,JL,OK
P25,1,3,"0,15",16/08/19,19/08/19,0,0,0,JL,OK
P25,1,4,"0,6",16/08/19,19/08/19,0,0,0,JL,OK
P25,2,1,"0,3",16/08/19,19/08/19,1,1,1,JL,OK
P25,2,2,"1,05",16/08/19,19/08/19,0,0,0,JL,OK
P25,2,3,"0,75",16/08/19,19/08/19,0,0,0,JL,OK
P25,2,4,0,16/08/19,19/08/19,0,0,0,JL,OK
P25,3,1,"1,35",16/08/19,19/08/19,2,2,2,JL,OK
